file_name,table_name,column_name,definition,data_type,allowed_values,missing_codes,is_identifier,is_direct_identifier,notes
responses_long.csv,responses,student_id,Stable pseudonymous student identifier,string,,,yes,no,
responses_long.csv,responses,school_id,School identifier,string,,,yes,no,
responses_long.csv,responses,class_id,Class or cohort identifier,string,,,yes,no,
responses_long.csv,responses,year,Assessment year,integer,,,no,no,
responses_long.csv,responses,wave,Baseline/endline/follow-up label,string,,,no,no,
responses_long.csv,responses,subject,Arabic/French/mathematics,string,,,no,no,
responses_long.csv,responses,grade,Grade at administration,integer,1|2|3|4|5|6,,no,no,
responses_long.csv,responses,form_id,Exact administered form identifier,string,,,yes,no,
responses_long.csv,responses,item_id,Stable conceptual item identifier,string,,,yes,no,
responses_long.csv,responses,item_version,Version identifier for exact prompt/stimulus/scoring,string,,,yes,no,
responses_long.csv,responses,response_raw,Raw recorded response,string,,,no,no,
responses_long.csv,responses,score,Assigned item score,numeric,,,no,no,
responses_long.csv,responses,max_score,Maximum possible item score,numeric,,,no,no,
responses_long.csv,responses,missing_reason,Observed/omitted/not_reached/invalid/technical,string,,,no,no,
responses_long.csv,responses,response_time_ms,Item or task response time in milliseconds,numeric,,,no,no,
responses_long.csv,responses,rater_id,Pseudonymous rater identifier where applicable,string,,,yes,no,
