subject,recommendation_reason,n_form_items
Arabic,low_coverage_missing_drives_difficulty,16
Arabic,useful_upper_tail_item,16
Arabic,treated_only_ceiling_review,15
Arabic,shared_ceiling_limited_incremental_value,14
Arabic,foundational_causal_signal_item,10
Arabic,too_hard_replace,1
French,low_coverage_missing_drives_difficulty,67
French,useful_upper_tail_item,20
French,foundational_causal_signal_item,9
French,treated_only_ceiling_review,6
French,shared_ceiling_limited_incremental_value,2
French,treated_below_control_anomaly,1
Maths,useful_upper_tail_item,25
Maths,treated_below_control_anomaly,7
Maths,too_hard_replace,5
Maths,treated_only_ceiling_review,4
Maths,foundational_causal_signal_item,3
Maths,borderline_too_hard_but_discriminating,2
Maths,shared_ceiling_limited_incremental_value,2
