"subject","grade_pair","shared_items","usable_anchors","low_coverage_anchors","extreme_anchors","weak_discrimination_anchors","review_anchors"
"Arabic","g1-g2",3,0,0,3,0,0
"Arabic","g2-g3",9,2,0,7,0,0
"Arabic","g3-g4",7,7,0,0,0,0
"Arabic","g4-g5",4,3,1,0,0,0
"Arabic","g5-g6",14,6,4,4,0,0
"French","g1-g2",9,3,5,1,0,0
"French","g2-g3",50,23,18,8,1,0
"French","g3-g4",11,8,2,1,0,0
"French","g4-g5",32,11,17,4,0,0
"French","g5-g6",32,9,17,6,0,0
"Maths","g1-g2",5,1,0,4,0,0
"Maths","g2-g3",6,3,2,1,0,0
"Maths","g3-g4",6,5,0,1,0,0
"Maths","g4-g5",6,4,0,1,1,0
"Maths","g5-g6",4,2,2,0,0,0
