subject,grade,keep_as_stretch,keep_but_fix_administration,keep_for_causal_signal,replace,review_treated_only_ceiling,soften_slightly
Arabic,1,0,0,10,4,11,0
Arabic,2,3,0,0,4,4,0
Arabic,3,4,0,0,5,0,0
Arabic,4,8,3,0,0,0,0
Arabic,5,1,3,0,2,0,0
Arabic,6,0,10,0,0,0,0
French,1,0,17,3,0,2,0
French,2,8,7,1,0,0,0
French,3,8,4,2,1,0,0
French,4,1,12,0,0,2,0
French,5,2,14,1,0,2,0
French,6,1,13,2,2,0,0
Maths,1,3,0,1,0,1,0
Maths,2,4,0,2,3,1,0
Maths,3,5,0,0,3,0,0
Maths,4,5,0,0,2,1,0
Maths,5,6,0,0,3,1,0
Maths,6,2,0,0,3,0,2
