"subject","chain_id","linked_item","irt_discrimination","irt_difficulty"
"Arabic","arabic_chain1","g1__a110y3_nv3",1,0.249023690537809
"Arabic","arabic_chain1","g1__a111y3_nv3",1,-0.290497975798294
"Arabic","arabic_chain1","g1__a112y3_nv3",1,0.98226783384562
"Arabic","arabic_chain1","g1__a113y3_nv3",1,-3.81638069997706
"Arabic","arabic_chain1","g1__a114y3_nv3",1,-4.05632341344925
"Arabic","arabic_chain1","g1__a115y3_nv3",1,-4.47346974089227
"Arabic","arabic_chain1","g1__a116y3_nv3",1,-2.50958742207991
"Arabic","arabic_chain1","g1__a117y3_nv3",1,-4.6334019276202
"Arabic","arabic_chain1","g1__a118y3_nv3",1,-4.47346974089227
"Arabic","arabic_chain1","g1__a119y3_nv3",1,-4.47346974089227
"Arabic","arabic_chain1","g1__a11y3_nv3",1,-2.24566831150972
"Arabic","arabic_chain1","g1__a120y3_nv3",1,-3.12566339223533
"Arabic","arabic_chain1","g1__a121y3_nv3",1,-3.49675582493472
"Arabic","arabic_chain1","g1__a122y3_nv3",1,-5.45890290620945
"Arabic","arabic_chain1","g1__a123y3_nv3",1,-2.87815526434239
"Arabic","arabic_chain1","g1__a124y3_nv3",1,-4.05632341344925
"Arabic","arabic_chain1","g1__a125y3_nv3",1,-3.30452024338212
"Arabic","arabic_chain1","g1__a126y3_nv3",1,-2.72483819290997
"Arabic","arabic_chain1","g1__a127y3_nv3",1,-2.50958742207991
"Arabic","arabic_chain1","g1__a128y3_nv3",1,-1.72539851442027
"Arabic","arabic_chain1","g1__a129y3_nv3",1,-1.46962516932843
"Arabic","arabic_chain1","g1__a12y3_nv3",1,0.143480386278757
"Arabic","arabic_chain1","g1__a130y3_nv3",1,-1.83366629877805
"Arabic","arabic_chain1","g1__a131y3_nv3",1,-2.24566831150972
"Arabic","arabic_chain1","g1__a132y3_nv3",1,-2.06219861794966
"Arabic","arabic_chain1","g1__a133y3_nv3",1,-1.32503765117605
"Arabic","arabic_chain1","g1__a134y3_nv3",1,-1.88923181401083
"Arabic","arabic_chain1","g1__a135y3_nv3",1,-1.37256326282613
"Arabic","arabic_chain1","g1__a136y3_nv3",1,-1.83366629877805
"Arabic","arabic_chain1","g1__a137y3_nv3",1,-1.23186527688688
"Arabic","arabic_chain1","g1__a138y3_nv3",1,-1.94581029774899
"Arabic","arabic_chain1","g1__a139y3_nv3",1,-1.14103566394555
"Arabic","arabic_chain1","g1__a13y3_nv3",1,-3.70507542560059
"Arabic","arabic_chain1","g1__a140y3_nv3",1,-1.51921804804985
"Arabic","arabic_chain1","g1__a141y3_nv3",1,-1.27814671282466
"Arabic","arabic_chain1","g1__a142y3_nv3",1,-1.51921804804985
"Arabic","arabic_chain1","g1__a143y3_nv3",1,-1.62067991118345
"Arabic","arabic_chain1","g1__a144y3_nv3",1,-1.72539851442027
"Arabic","arabic_chain1","g1__a14y3_nv3",1,-0.596515622481011
"Arabic","arabic_chain1","g1__a15y3_nv3",1,-1.09644237200948
"Arabic","arabic_chain1","g1__a16y3_nv3",1,-3.2135591031623
"Arabic","arabic_chain1","g1__a17y3_nv3",1,-3.04059811232483
"Arabic","arabic_chain1","g1__a18y3_nv3",1,-2.30943776972849
"Arabic","arabic_chain1","g1__a19y3_nv3",1,-0.327854516169118
"Arabic","arabic_chain1","g1__a245y3_nv3",1,-0.557282840853217
"Arabic","arabic_chain1","g1__a246y3_nv3",1,-1.46962516932843
"Arabic","arabic_chain1","g1__a247y3_nv3",1,0.0370110233479819
"Arabic","arabic_chain1","g1__a248y3_nv3",1,0.666764622374067
"Arabic","arabic_chain1","g1__a249y3_nv3",1,-0.106821081219876
"Arabic","arabic_chain1","g1__a250y3_nv3",1,-0.403276236998092
"Arabic","arabic_chain1","g1__a251y3_nv3",1,-0.327854516169118
"Arabic","arabic_chain1","g1__a522y3_nv3",1,-0.290497975798295
"Arabic","arabic_chain2","g2__a14y3_nv3",1,1.646418854408
"Arabic","arabic_chain2","g2__a15y3_nv3",1,1.65367676021023
"Arabic","arabic_chain2","g2__a16y3_nv3",1,1.60351858839843
"Arabic","arabic_chain2","g2__a214_nv",1,1.53432402132025
"Arabic","arabic_chain2","g2__a215",1,1.49407788082387
"Arabic","arabic_chain2","g2__a217",1,1.48745703222522
"Arabic","arabic_chain2","g2__a218",1,1.49407788082387
"Arabic","arabic_chain2","g2__a219_nv",1,1.58246820686933
"Arabic","arabic_chain2","g2__a236_nv",1,1.84660602287258
"Arabic","arabic_chain2","g2__a237_nv",1,2.05803498892675
"Arabic","arabic_chain2","g2__a238",1,2.0675516937746
"Arabic","arabic_chain2","g2__a239",1,2.13604317382186
"Arabic","arabic_chain2","g2__a251",1,2.5854997470179
"Arabic","arabic_chain2","g2__a252_nv3",1,2.38908290417557
"Arabic","arabic_chain2","g2__a253",1,2.05803498892675
"Arabic","arabic_chain2","g2__a254_nv3",1,1.93104049263428
"Arabic","arabic_chain2","g2__a255",1,2.65852752978814
"Arabic","arabic_chain2","g2__a256",1,2.49001441786665
"Arabic","arabic_chain2","g2__a257",1,2.72028068034971
"Arabic","arabic_chain2","g2__a258_nv",1,2.8542544988448
"Arabic","arabic_chain2","g2__a262_nv3",1,2.14610958689036
"Arabic","arabic_chain2","g2__a263_nv3",1,2.35319397030588
"Arabic","arabic_chain2","g2__a264_nv3",1,2.45121984526189
"Arabic","arabic_chain2","g2__a265_nv3",1,2.55746175669299
"Arabic","arabic_chain2","g2__a321y3_nv3",1,1.68303063421256
"Arabic","arabic_chain2","g2__a322y3_nv3",1,2.10627651960719
"Arabic","arabic_chain2","g2__a323y3_nv3",1,1.87144280703906
"Arabic","arabic_chain2","g2__a330y3_nv3",1,3.00549982209831
"Arabic","arabic_chain2","g2__a331y3_nv3",1,2.25108959991375
"Arabic","arabic_chain2","g2__a332y3_nv3",1,2.76876959328388
"Arabic","arabic_chain2","g2_to_g3__a261_nv",1,1.72807363926779
"Arabic","arabic_chain2","g2_to_g3__a324y3_nv3",1,1.54112118918126
"Arabic","arabic_chain2","g3__a2100",1,2.89026400111455
"Arabic","arabic_chain2","g3__a2101",1,2.40127127755464
"Arabic","arabic_chain2","g3__a2102",1,3.08927438333258
"Arabic","arabic_chain2","g3__a214_nv",1,1.5007230812925
"Arabic","arabic_chain2","g3__a215",1,1.48086026783917
"Arabic","arabic_chain2","g3__a217",1,1.5007230812925
"Arabic","arabic_chain2","g3__a218",1,1.50739290538928
"Arabic","arabic_chain2","g3__a219_nv",1,1.54112118918126
"Arabic","arabic_chain2","g3__a236_nv",1,1.72807363926779
"Arabic","arabic_chain2","g3__a237_nv",1,1.75881832151094
"Arabic","arabic_chain2","g3__a270",1,2.05803498892675
"Arabic","arabic_chain2","g3__a271",1,1.91376833412348
"Arabic","arabic_chain2","g3__a282",1,2.04858191422184
"Arabic","arabic_chain2","g3__a287",1,2.46401950173515
"Arabic","arabic_chain2","g3__a288_nv3",1,2.26205241740227
"Arabic","arabic_chain2","g3__a289",1,1.91376833412348
"Arabic","arabic_chain2","g3__a290",1,2.1975824937956
