"subject","chain_id","grade","n_students","n_treated","n_control","theta_mean_all","theta_sd_all","theta_mean_treated","theta_mean_control","treated_minus_control"
"Arabic","arabic_chain1",1,179,95,84,0.0414099402386483,1.92041847526807,0.602929730047152,-0.59364220299716,1.19657193304431
"Arabic","arabic_chain2",2,200,100,100,0.200698056381622,0.37198408959873,0.26880746554361,0.132588647219633,0.136218818323977
"Arabic","arabic_chain2",3,200,100,100,0.0578723361432836,0.430680198457416,0.134859763555835,-0.0191150912692678,0.153974854825103
"Arabic","arabic_chain2",4,200,100,100,-0.247621932070846,0.58552283647054,-0.143961347330363,-0.351282516811328,0.207321169480965
"Arabic","arabic_chain2",5,195,95,100,-0.0303534005979197,0.537685831972166,0.102517388148528,-0.156580649907045,0.259098038055574
"Arabic","arabic_chain2",6,195,95,100,0.0193436881673679,0.528475885011668,0.0699738187199415,-0.0287549358575771,0.0987287545775186
"French","french_chain1",1,195,100,95,0.360165408776351,0.700483684740046,0.603913492925384,0.103588478093159,0.500325014832225
"French","french_chain1",2,199,100,99,0.0490774463660801,0.783417392144639,0.290851156586644,-0.195138422543581,0.485989579130225
"French","french_chain1",3,200,100,100,0.348591777504747,0.779104845303943,0.532574711158601,0.164608843850894,0.367965867307707
"French","french_chain1",4,200,100,100,-0.371942651820428,0.560235573011298,-0.165550624867296,-0.57833467877356,0.412784053906265
"French","french_chain1",5,195,95,100,-0.32016922359577,0.623948829498217,-0.123236211389752,-0.507255585191487,0.384019373801735
"French","french_chain1",6,195,95,100,-0.0640695582946397,0.555090004507099,0.1043238295831,-0.224043276778493,0.328367106361593
"Maths","maths_chain1",1,180,95,85,-4.29043282381543e-05,0.940368799526936,0.243365752687388,-0.272087873933938,0.515453626621326
"Maths","maths_chain2",2,200,100,100,0.0654299447277325,0.529265098398264,0.165792731976491,-0.0349328425210257,0.200725574497516
"Maths","maths_chain2",3,199,99,100,0.103334647045768,0.543584407470059,0.144581824362696,0.06249994150201,0.0820818828606856
"Maths","maths_chain2",4,200,100,100,-0.046541505152404,0.553742409844965,0.0897014714461792,-0.182784481750987,0.272485953197166
"Maths","maths_chain2",5,190,90,100,-0.127466424424184,0.605579712334311,0.122285536373044,-0.352243189141689,0.474528725514733
"Maths","maths_chain3",6,185,90,95,0.000340123909798968,1.57840499361879,0.425375578049554,-0.402325043169969,0.827700621219522
