"id_student_panel","subject","grade","treated","school","cd_etab","chain_id","scale_linked","theta_linked"
"Y3P_3021","Arabic",1,0,"EL FALAH","18168X","arabic_chain1",FALSE,-5.67936241508761
"Y3P_4340","Arabic",1,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain1",FALSE,1.61758098282458
"Y3P_4471","Arabic",1,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain1",FALSE,0.597756637537237
"Y3P_4688","Arabic",1,0,"ECOLE PRIMAIRE AHL LOUGHLAM CHARKIA","01722W","arabic_chain1",FALSE,0.802966042139278
"Y3P_4691","Arabic",1,0,"ECOLE PRIMAIRE AHL LOUGHLAM CHARKIA","01722W","arabic_chain1",FALSE,0.411522922316527
"Y3P_4756","Arabic",1,1,"IBN BATTOUTA","08086N","arabic_chain1",FALSE,2.01913528586881
"Y3P_4761","Arabic",1,1,"IBN BATTOUTA","08086N","arabic_chain1",FALSE,0.802966042139279
"Y3P_4832","Arabic",1,0,"CENTRALE EL AOUNATE","08101E","arabic_chain1",FALSE,-2.07492578490104
"Y3P_4834","Arabic",1,0,"CENTRALE EL AOUNATE","08101E","arabic_chain1",FALSE,0.239950257580576
"Y3P_4839","Arabic",1,0,"CENTRALE EL AOUNATE","08101E","arabic_chain1",FALSE,0.802966042139278
"Y3P_4936","Arabic",1,1,"ECOLE PRIMAIRE IBN AL HAYTAM","24791W","arabic_chain1",FALSE,1.03353462329739
"Y3P_5013","Arabic",1,1,"ABDERRAHMANE HJIRA","24457H","arabic_chain1",FALSE,1.61758098282458
"Y3P_5094","Arabic",1,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain1",FALSE,0.597756637537237
"Y3P_5110","Arabic",1,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain1",FALSE,2.01913528586882
"Y3P_5179","Arabic",1,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain1",FALSE,-0.481319814947838
"Y3P_5197","Arabic",1,0,"AHMED BOUKMAKH","26501E","arabic_chain1",FALSE,-2.40979163685516
