"row_id","id_student_panel","subject","grade","treated","school","cd_etab","duplicate_flag","duration_raw","n_binary_nonmissing","binary_score_observed","kept_after_dedup"
3333,"Y3P_1012","Maths",6,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2873",26,8,TRUE
3334,"Y3P_1012","Maths",6,1,"ECOLE MOUAD BEN JABAL","25822S",1,"680",26,7,FALSE
2372,"Y3P_1071","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1157",35,28,TRUE
2373,"Y3P_1071","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1342",35,27,FALSE
1625,"Y3P_1460","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"1027",32,28,TRUE
1624,"Y3P_1460","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"10940",28,24,FALSE
408,"Y3P_198","Arabic",6,1,"ENNAHDA","18163S",1,"2406",35,27,TRUE
407,"Y3P_198","Arabic",6,1,"ENNAHDA","18163S",1,"1266",35,25,FALSE
2375,"Y3P_220","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1342",29,12,TRUE
2376,"Y3P_220","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1157",29,11,FALSE
1627,"Y3P_270","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"1027",26,9,TRUE
1626,"Y3P_270","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"10940",26,8,FALSE
3193,"Y3P_3701","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2596",36,19,TRUE
3194,"Y3P_3701","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"1511",35,17,FALSE
3197,"Y3P_3844","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"1511",40,8,TRUE
3196,"Y3P_3844","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2596",40,7,FALSE
1186,"Y3P_4136","French",3,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N",1,"2682",47,45,TRUE
1187,"Y3P_4136","French",3,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N",1,"4202",47,44,FALSE
1349,"Y3P_4468","Maths",2,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V",1,"2233",24,13,TRUE
1348,"Y3P_4468","Maths",2,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V",1,"1276",24,12,FALSE
3198,"Y3P_4637","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"1511",46,41,TRUE
3199,"Y3P_4637","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2596",45,43,FALSE
3200,"Y3P_4639","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"1511",47,41,TRUE
3201,"Y3P_4639","French",3,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2596",47,39,FALSE
1630,"Y3P_567","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"10940",29,23,TRUE
1629,"Y3P_567","Arabic",6,1,"ECOLE IBRAHIM ROUDANI","23361S",1,"1027",29,22,FALSE
1351,"Y3P_6269","Maths",2,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V",1,"2233",26,11,TRUE
1352,"Y3P_6269","Maths",2,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V",1,"1276",26,10,FALSE
2378,"Y3P_678","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1342",21,16,TRUE
2379,"Y3P_678","Arabic",6,1,"LISSANE EDDINE IBN ALKHATIB","27199N",1,"1157",20,15,FALSE
3337,"Y3P_767","Maths",6,1,"ECOLE MOUAD BEN JABAL","25822S",1,"2873",24,10,TRUE
3338,"Y3P_767","Maths",6,1,"ECOLE MOUAD BEN JABAL","25822S",1,"680",23,9,FALSE
