"subject","grade","n_students","n_treated","n_control","n_binary_items","avg_response_rate","mean_pct_correct_all","mean_pct_correct_treated","mean_pct_correct_control","alpha","ctt_very_easy_treated","ctt_very_hard_treated","ctt_very_easy_all","ctt_very_hard_all","irt_model_used","irt_items_fit","irt_constant_items_excluded","irt_converged","irt_fit_reason","irt_logLik","irt_AIC","irt_BIC"
"Arabic",1,179,95,84,52,0.943596905887409,0.750107434464976,0.821052631578947,0.669871794871795,0.965396844806258,17,0,9,0,"1PL",52,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok",NA,NA,NA
"Arabic",2,200,100,100,32,0.93921875,0.61375,0.65375,0.57375,0.886524866075634,8,0,6,0,"1PL",32,0,TRUE,"2PL_failed: not_converged | 1PL: ok",NA,NA,NA
"Arabic",3,200,100,100,31,0.920806451612903,0.558709677419355,0.598387096774194,0.519032258064516,0.90933358385053,5,0,5,0,"2PL",31,0,TRUE,"ok",NA,NA,NA
"Arabic",4,200,100,100,33,0.817121212121212,0.399090909090909,0.443636363636364,0.354545454545455,0.925331134028924,0,0,0,0,"2PL",33,0,TRUE,"ok",NA,NA,NA
"Arabic",5,195,95,100,32,0.841666666666667,0.508974358974359,0.569407894736842,0.4515625,0.923352151442347,1,1,1,1,"2PL",32,0,TRUE,"ok",NA,NA,NA
"Arabic",6,195,95,100,35,0.760732600732601,0.488644688644689,0.51218045112782,0.466285714285714,0.92169559865825,0,0,0,0,"2PL",35,0,TRUE,"ok",NA,NA,NA
"French",1,195,100,95,49,0.723914181057038,0.471376242804814,0.555918367346939,0.382384532760473,0.947558772653757,4,1,1,1,"1PL",49,0,TRUE,"2PL_failed: not_converged | 1PL: ok",NA,NA,NA
"French",2,199,100,99,50,0.745527638190955,0.367537688442211,0.4346,0.29979797979798,0.94511766592166,0,0,0,3,"2PL",50,0,TRUE,"ok",NA,NA,NA
"French",3,200,100,100,50,0.822,0.4677,0.5262,0.4092,0.952988009599218,0,1,0,0,"1PL",50,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok",NA,NA,NA
"French",4,200,100,100,32,0.6409375,0.35859375,0.4315625,0.285625,0.894039201676219,2,3,1,4,"2PL",32,0,TRUE,"ok",NA,NA,NA
"French",5,195,95,100,32,0.652083333333333,0.386538461538462,0.4625,0.314375,0.925386998728521,2,0,1,2,"1PL",32,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok",NA,NA,NA
"French",6,195,95,100,32,0.727083333333333,0.481089743589744,0.553947368421053,0.411875,0.92118158718316,3,0,2,0,"2PL",32,0,TRUE,"ok",NA,NA,NA
"Maths",1,180,95,85,26,0.918376068376068,0.588675213675214,0.648178137651822,0.522171945701357,0.882556356326438,1,1,1,1,"2PL",26,0,TRUE,"ok",NA,NA,NA
"Maths",2,200,100,100,28,0.908928571428571,0.525535714285714,0.571785714285714,0.479285714285714,0.90415264376088,3,0,1,0,"2PL",28,0,TRUE,"ok",NA,NA,NA
"Maths",3,199,99,100,29,0.89603188355571,0.527638190954774,0.539533263671195,0.515862068965517,0.911465778895035,1,0,1,0,"2PL",29,0,TRUE,"ok",NA,NA,NA
"Maths",4,200,100,100,29,0.941034482758621,0.457931034482759,0.511724137931034,0.404137931034483,0.890093995597053,1,1,0,1,"2PL",29,0,TRUE,"ok",NA,NA,NA
"Maths",5,190,90,100,31,0.89490662139219,0.40169779286927,0.496415770609319,0.316451612903226,0.90967255472019,1,3,0,3,"2PL",31,0,TRUE,"ok",NA,NA,NA
"Maths",6,185,90,95,26,0.793139293139293,0.29002079002079,0.342735042735043,0.240080971659919,0.894760279803102,0,7,0,4,"1PL",26,0,TRUE,"2PL_failed: not_converged | 1PL: ok",NA,NA,NA
