"subject","chain_id","source_item","linked_item","component_grades"
"Arabic","arabic_chain2","a2122","g4_to_g5__a2122","4,5"
"Arabic","arabic_chain2","a2123","g4_to_g5__a2123","4,5"
"Arabic","arabic_chain2","a2145_nv","g5_to_g6__a2145_nv","5,6"
"Arabic","arabic_chain2","a2161","g5_to_g6__a2161","5,6"
"Arabic","arabic_chain2","a261_nv","g2_to_g3__a261_nv","2,3"
"Arabic","arabic_chain2","a269","g3_to_g4__a269","3,4"
"Arabic","arabic_chain2","a294","g3_to_g4__a294","3,4"
"Arabic","arabic_chain2","a324y3_nv3","g2_to_g3__a324y3_nv3","2,3"
"Arabic","arabic_chain2","a412y3_nv3","g3_to_g4__a412y3_nv3","3,4"
"Arabic","arabic_chain2","a413y3_nv3","g3_to_g4__a413y3_nv3","3,4"
"Arabic","arabic_chain2","a414y3_nv3","g3_to_g4__a414y3_nv3","3,4"
"Arabic","arabic_chain2","a415y3_nv3","g3_to_g4__a415y3_nv3","3,4"
"Arabic","arabic_chain2","a422y3_nv3","g3_to_g4__a422y3_nv3","3,4"
"Arabic","arabic_chain2","a519y3_nv3","g4_to_g5__a519y3_nv3","4,5"
"French","french_chain1","f211","g2_to_g3__f211","2,3"
"French","french_chain1","f2113","g4_to_g6__f2113","4,5,6"
"French","french_chain1","f2114","g4_to_g5__f2114","4,5"
"French","french_chain1","f2126","g5_to_g6__f2126","5,6"
"French","french_chain1","f2127","g5_to_g6__f2127","5,6"
"French","french_chain1","f232_nv","g2_to_g6__f232_nv","2,3,4,5,6"
"French","french_chain1","f233_nv","g2_to_g6__f233_nv","2,3,4,5,6"
"French","french_chain1","f235_nv","g2_to_g6__f235_nv","2,3,4,5,6"
"French","french_chain1","f245","g1_to_g3__f245","1,2,3"
"French","french_chain1","f246","g1_to_g2__f246","1,2"
"French","french_chain1","f247","g1_to_g3__f247","1,2,3"
"French","french_chain1","f253","g2_to_g3__f253","2,3"
"French","french_chain1","f256","g2_to_g3__f256","2,3"
"French","french_chain1","f258","g2_to_g3__f258","2,3"
"French","french_chain1","f266","g2_to_g3__f266","2,3"
"French","french_chain1","f268","g2_to_g3__f268","2,3"
"French","french_chain1","f269","g2_to_g3__f269","2,3"
"French","french_chain1","f270","g2_to_g3__f270","2,3"
"French","french_chain1","f271","g2_to_g3__f271","2,3"
"French","french_chain1","f272","g2_to_g3__f272","2,3"
"French","french_chain1","f273","g2_to_g3__f273","2,3"
"French","french_chain1","f276","g2_to_g3__f276","2,3"
"French","french_chain1","f278","g2_to_g3__f278","2,3"
"French","french_chain1","f279","g2_to_g3__f279","2,3"
"French","french_chain1","f293","g3_to_g4__f293","3,4"
"French","french_chain1","f293","g5_to_g6__f293","5,6"
"French","french_chain1","f294_nv","g2_to_g6__f294_nv","2,3,4,5,6"
"French","french_chain1","f297_nv","g2_to_g5__f297_nv","2,3,4,5"
"French","french_chain1","f298","g2_to_g5__f298","2,3,4,5"
"French","french_chain1","f299","g2_to_g6__f299","2,3,4,5,6"
"Maths","maths_chain2","m2101","g4_to_g5__m2101","4,5"
"Maths","maths_chain2","m2107","g4_to_g5__m2107","4,5"
"Maths","maths_chain2","m2108","g4_to_g5__m2108","4,5"
"Maths","maths_chain2","m230","g2_to_g3__m230","2,3"
"Maths","maths_chain2","m230_nv","g3_to_g4__m230_nv","3,4"
"Maths","maths_chain2","m233_nv","g2_to_g3__m233_nv","2,3"
"Maths","maths_chain2","m259","g3_to_g4__m259","3,4"
"Maths","maths_chain2","m279_nv3","g3_to_g4__m279_nv3","3,4"
"Maths","maths_chain2","m286_nv","g4_to_g5__m286_nv","4,5"
"Maths","maths_chain2","m33y3_nv3","g2_to_g3__m33y3_nv3","2,3"
