"subject","chain_id","grade","source_item","linked_item","linked_across_grades","component_grades"
"Arabic","arabic_chain1",1,"a110y3_nv3","g1__a110y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a111y3_nv3","g1__a111y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a112y3_nv3","g1__a112y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a113y3_nv3","g1__a113y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a114y3_nv3","g1__a114y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a115y3_nv3","g1__a115y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a116y3_nv3","g1__a116y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a117y3_nv3","g1__a117y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a118y3_nv3","g1__a118y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a119y3_nv3","g1__a119y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a11y3_nv3","g1__a11y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a120y3_nv3","g1__a120y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a121y3_nv3","g1__a121y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a122y3_nv3","g1__a122y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a123y3_nv3","g1__a123y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a124y3_nv3","g1__a124y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a125y3_nv3","g1__a125y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a126y3_nv3","g1__a126y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a127y3_nv3","g1__a127y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a128y3_nv3","g1__a128y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a129y3_nv3","g1__a129y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a12y3_nv3","g1__a12y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a130y3_nv3","g1__a130y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a131y3_nv3","g1__a131y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a132y3_nv3","g1__a132y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a133y3_nv3","g1__a133y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a134y3_nv3","g1__a134y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a135y3_nv3","g1__a135y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a136y3_nv3","g1__a136y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a137y3_nv3","g1__a137y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a138y3_nv3","g1__a138y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a139y3_nv3","g1__a139y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a13y3_nv3","g1__a13y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a140y3_nv3","g1__a140y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a141y3_nv3","g1__a141y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a142y3_nv3","g1__a142y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a143y3_nv3","g1__a143y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a144y3_nv3","g1__a144y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a14y3_nv3","g1__a14y3_nv3",FALSE,"1"
"Arabic","arabic_chain1",1,"a15y3_nv3","g1__a15y3_nv3",FALSE,"1"
